"id","RMS_CDW_ID","General_Offense_Number","Offense_Code","Offense_Code_Extension","Offense_Type","Summary_Offense_Code","Summarized_Offense_Description, Date_Reported","Occurred_Date_or_Date_Range_Start","Occurred_Date_Range_End","Hundred_Block_Location","District_Sector","Zone_Beat","Longitude","Latitude","Location","Date_Occurred","Date_Occurred_End"
79,732288,"2013101624","2205",0,"BURGLARY-NOFORCE-NONRES","2200",,"2013-03-26T15:51:00.000Z","1900-01-01 00:00:00","74XX BLOCK OF 5 AV NE","J","J1",-122.323,47.6824,"(47.682407637, -122.322891614)","2013-03-26","2013-03-26"
81,732304,"2013102641","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-26T20:00:00.000Z","2013-03-27 09:00:00","31XX BLOCK OF 33 AV S","R","R1",-122.291,47.5758,"(47.575811619, -122.290902992)","2013-03-26","2013-03-27"
91,732342,"2013103213","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-27T19:52:00.000Z","1900-01-01 00:00:00","133XX BLOCK OF STONE AV N","N","N1",-122.342,47.7255,"(47.725511243, -122.342300219)","2013-03-27","2013-03-27"
132,732505,"201399629","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-25T00:53:00.000Z","2013-03-25 00:56:00","XX BLOCK OF NICKERSON ST","Q","Q2",-122.357,47.6497,"(47.649657319, -122.357423529)","2013-03-25","2013-03-25"
133,732506,"201399671","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-25T00:55:00.000Z","2013-03-25 01:58:00","XX BLOCK OF NICKERSON ST","Q","Q2",-122.357,47.6497,"(47.649657319, -122.357423529)","2013-03-25","2013-03-25"
137,732516,"2013102982","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-27T16:19:00.000Z","1900-01-01 00:00:00","7XX BLOCK OF 1 AV N","Q","Q3",-122.355,47.6259,"(47.625851481, -122.355391315)","2013-03-27","2013-03-27"
151,732608,"201398741","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-24T04:20:00.000Z","1900-01-01 00:00:00","28XX BLOCK OF ALKI AV SW","W","W1",-122.413,47.5785,"(47.578548197, -122.412622976)","2013-03-24","2013-03-24"
152,732609,"201398839","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-24T02:02:00.000Z","2013-03-24 07:48:00","34XX BLOCK OF W MC GRAW ST","Q","Q1",-122.402,47.6396,"(47.639552517, -122.401688754)","2013-03-24","2013-03-24"
155,732624,"2013101660","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-26T11:00:00.000Z","2013-03-26 16:00:00","30XX BLOCK OF 19 AV S","O","O1",-122.308,47.576,"(47.57603918, -122.307724846)","2013-03-26","2013-03-26"
156,732632,"2013103602","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-27T19:30:00.000Z","2013-03-28 04:30:00","33XX BLOCK OF W MC GRAW ST","Q","Q1",-122.4,47.6396,"(47.639556387, -122.400315438)","2013-03-27","2013-03-28"
157,732633,"2013102020","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-26T22:06:00.000Z","1900-01-01 00:00:00","51XX BLOCK OF S FARRAR ST","R","R3",-122.269,47.5556,"(47.55556122, -122.268986392)","2013-03-26","2013-03-26"
256,732851,"201399347","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-23T12:00:00.000Z","2013-03-24 19:30:00","48XX BLOCK OF FAUNTLEROY WY SW","W","W2",-122.381,47.5584,"(47.558356551, -122.381459365)","2013-03-23","2013-03-24"
257,732852,"201399538","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-25T23:00:00.000Z","1900-01-01 00:00:00","127XX BLOCK OF GREENWOOD AV N","B","B1",-122.356,47.7223,"(47.722325583, -122.355544667)","2013-03-25","2013-03-25"
329,732973,"201399209","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-22T16:00:00.000Z","2013-03-24 16:16:00","21XX BLOCK OF N 53 ST","J","J1",-122.333,47.6672,"(47.667203203, -122.332853761)","2013-03-22","2013-03-24"
