"RMS_CDW_ID","General_Offense_Number","Offense_Code","Offense_Code_Extension","Offense_Type","Summary_Offense_Code","Summarized_Offense_Description, Date_Reported","Occurred_Date_or_Date_Range_Start","Occurred_Date_Range_End","Hundred_Block_Location","District_Sector","Zone_Beat","Longitude","Latitude","Location","Date_Occurred","Date_Occurred_End"
733494,"2013104086","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-28T13:15:00.000Z","1900-01-01 00:00:00","65XX BLOCK OF 30 AV S","S","S1",-122.294,47.5435,"(47.543507226, -122.29365419)","2013-03-28","2013-03-28"
733524,"2013106698","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-30T13:01:00.000Z","1900-01-01 00:00:00","59XX BLOCK OF S CARVER ST","S","S3",-122.259,47.5182,"(47.518238892, -122.259228099)","2013-03-30","2013-03-30"
735970,"2013108527","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-31T16:30:00.000Z","2013-03-31 22:30:00","25XX BLOCK OF S JUNEAU ST","S","S1",-122.299,47.55,"(47.549979687, -122.298593947)","2013-03-31","2013-03-31"
736944,"2013107113","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-27T14:00:00.000Z","2013-03-30 19:15:00","104XX BLOCK OF 66 AV S","S","S3",-122.251,47.5073,"(47.507280806, -122.251208632)","2013-03-27","2013-03-30"
737706,"2013108160","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-30T08:00:00.000Z","2013-03-30 09:00:00","95XX BLOCK OF RAINIER AV S","S","S3",-122.261,47.5203,"(47.520316995, -122.261148057)","2013-03-30","2013-03-30"
741903,"2013104113","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-24T12:00:00.000Z","2013-03-26 14:00:00","57XX BLOCK OF S LEO ST","S","S3",-122.261,47.5025,"(47.502507453, -122.260959021)","2013-03-24","2013-03-26"
745730,"2013100122","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-25T08:00:00.000Z","2013-03-25 12:00:00","65XX BLOCK OF 29 AV S","S","S1",-122.296,47.5435,"(47.54353295, -122.295817533)","2013-03-25","2013-03-25"
748218,"2013100389","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-25T16:06:00.000Z","1900-01-01 00:00:00","58XX BLOCK OF 39 AV S","S","S1",-122.283,47.5501,"(47.550098785, -122.283418574)","2013-03-25","2013-03-25"
763934,"201399639","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-25T01:10:00.000Z","1900-01-01 00:00:00","50XX BLOCK OF S ROXBURY ST","S","S2",-122.271,47.5169,"(47.516853923, -122.270559135)","2013-03-25","2013-03-25"
778429,"201396588","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-22T10:30:00.000Z","2013-03-22 14:26:00","65XX BLOCK OF 29 AV S","S","S1",-122.296,47.5435,"(47.54353295, -122.295817533)","2013-03-22","2013-03-22"
820158,"2013101289","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-26T10:51:00.000Z","1900-01-01 00:00:00","100XX BLOCK OF 51 AV S","S","S3",-122.27,47.5102,"(47.510207706, -122.270063368)","2013-03-26","2013-03-26"
